    Iteration  Factor          P1          P2          P3          P4
           33       2    2.67e-01    3.57e-04    3.30e-04    3.29e-04 
           33       4    3.00e-04    2.71e-01    2.87e-04    2.86e-04 
           33       6    2.67e-04    2.70e-04    3.70e-01    6.02e-02 
           33       7    2.69e-04    2.72e-04    3.39e-04    3.52e-01 
           34       1           1           1           1           1 
           34       2    2.66e-01    3.52e-04    3.31e-04    3.29e-04 
           34       4    2.99e-04    2.69e-01    2.87e-04    2.86e-04 
           34       6    2.66e-04    2.69e-04    3.72e-01    6.20e-02 
           34       7    2.70e-04    2.72e-04    3.39e-04    3.53e-01 
           35       1           1           1           1           1 
           35       2    2.65e-01    3.48e-04    3.31e-04    3.29e-04 
           35       4    2.98e-04    2.67e-01    2.88e-04    2.86e-04 
           35       6    2.65e-04    2.68e-04    3.74e-01    6.46e-02 
           35       7    2.70e-04    2.71e-04    3.37e-04    3.54e-01 
           36       1           1           1           1           1 
           36       2    2.63e-01    3.46e-04    3.32e-04    3.30e-04 
           36       4    2.96e-04    2.65e-01    2.88e-04    2.86e-04 
           36       6    2.65e-04    2.67e-04    3.76e-01    6.69e-02 
           36       7    2.70e-04    2.71e-04    3.34e-04    3.55e-01 
           37       1           1           1           1           1 
           37       2    2.62e-01    3.43e-04    3.32e-04    3.30e-04 
           37       4    2.95e-04    2.63e-01    2.88e-04    2.86e-04 
           37       6    2.65e-04    2.67e-04    3.78e-01    6.92e-02 
           37       7    2.70e-04    2.71e-04    3.32e-04    3.56e-01 
           38       1           1           1           1           1 
           38       2    2.61e-01    3.41e-04    3.32e-04    3.30e-04 
           38       4    2.94e-04    2.61e-01    2.88e-04    2.87e-04 
           38       6    2.65e-04    2.67e-04    3.79e-01    7.13e-02 
           38       7    2.70e-04    2.71e-04    3.30e-04    3.57e-01 
           39       1           1           1           1           1 
           39       2    2.60e-01    3.40e-04    3.33e-04    3.31e-04 
           39       4    2.93e-04    2.60e-01    2.89e-04    2.87e-04 
           39       6    2.66e-04    2.67e-04    3.81e-01    7.34e-02 
           39       7    2.70e-04    2.71e-04    3.29e-04    3.58e-01 
           40       1           1           1           1           1 
           40       2    2.59e-01    3.38e-04    3.33e-04    3.31e-04 
           40       4    2.92e-04    2.58e-01    2.89e-04    2.87e-04 
           40       6    2.66e-04    2.67e-04    3.83e-01    7.54e-02 
           40       7    2.70e-04    2.71e-04    3.27e-04    3.59e-01 
           41       1           1           1           1           1 
           41       2    2.58e-01    3.37e-04    3.34e-04    3.31e-04 
           41       4    2.91e-04    2.56e-01    2.89e-04    2.87e-04 
           41       6    2.66e-04    2.67e-04    3.84e-01    7.73e-02 
           41       7    2.71e-04    2.71e-04    3.27e-04    3.60e-01 
           42       1           1           1           1           1 
           42       2    2.57e-01    3.35e-04    3.34e-04    3.32e-04 
           42       4    2.90e-04    2.54e-01    2.89e-04    2.87e-04 
           42       6    2.66e-04    2.67e-04    3.86e-01    7.90e-02 
           42       7    2.71e-04    2.71e-04    3.26e-04    3.61e-01 
           43       1           1           1           1           1 
           43       2    2.56e-01    3.34e-04    3.35e-04    3.32e-04 
           43       4    2.89e-04    2.52e-01    2.90e-04    2.88e-04 
           43       6    2.66e-04    2.67e-04    3.87e-01    8.07e-02 
           43       7    2.71e-04    2.71e-04    3.26e-04    3.61e-01 
           44       1           1           1           1           1 
           44       2    2.55e-01    3.33e-04    3.35e-04    3.32e-04 
           44       4    2.88e-04    2.51e-01    2.90e-04    2.88e-04 
           44       6    2.66e-04    2.66e-04    3.88e-01    8.22e-02 
           44       7    2.71e-04    2.71e-04    3.25e-04    3.62e-01 
           45       1           1           1           1           1 
           45       2    2.54e-01    3.32e-04    3.35e-04    3.33e-04 
           45       4    2.88e-04    2.49e-01    2.90e-04    2.88e-04 
           45       6    2.66e-04    2.66e-04    3.89e-01    8.36e-02 
           45       7    2.71e-04    2.71e-04    3.25e-04    3.63e-01 
           46       1           1           1           1           1 
           46       2    2.53e-01    3.31e-04    3.36e-04    3.33e-04 
           46       4    2.87e-04    2.47e-01    2.90e-04    2.88e-04 
           46       6    2.66e-04    2.66e-04    3.90e-01    8.49e-02 
           46       7    2.71e-04    2.71e-04    3.25e-04    3.64e-01 
           47       1           1           1           1           1 
           47       2    2.52e-01    3.30e-04    3.36e-04    3.34e-04 
           47       4    2.86e-04    2.46e-01    2.91e-04    2.89e-04 
           47       6    2.66e-04    2.66e-04    3.90e-01    8.61e-02 
           47       7    2.71e-04    2.71e-04    3.26e-04    3.65e-01 
           48       1           1           1           1           1 
           48       2    2.51e-01    3.29e-04    3.36e-04    3.34e-04 
           48       4    2.86e-04    2.44e-01    2.91e-04    2.89e-04 
           48       6    2.66e-04    2.66e-04    3.91e-01    8.72e-02 
           48       7    2.72e-04    2.71e-04    3.26e-04    3.66e-01 
           49       1           1           1           1           1 
           49       2    2.50e-01    3.28e-04    3.37e-04    3.34e-04 
           49       4    2.85e-04    2.43e-01    2.91e-04    2.89e-04 
           49       6    2.66e-04    2.65e-04    3.92e-01    8.82e-02 
           49       7    2.72e-04    2.71e-04    3.27e-04    3.67e-01 
           50       1           1           1           1           1 
           50       2    2.49e-01    3.28e-04    3.37e-04    3.35e-04 
           50       4    2.84e-04    2.41e-01    2.91e-04    2.89e-04 
           50       6    2.66e-04    2.65e-04    3.92e-01    8.91e-02 
           50       7    2.72e-04    2.71e-04    3.27e-04    3.68e-01 
           51       1           1           1           1           1 
           51       2    2.49e-01    3.27e-04    3.37e-04    3.35e-04 
           51       4    2.84e-04    2.40e-01    2.91e-04    2.89e-04 
           51       6    2.66e-04    2.65e-04    3.92e-01    9.00e-02 
           51       7    2.72e-04    2.71e-04    3.28e-04    3.68e-01 
           52       1           1           1           1           1 
           52       2    2.48e-01    3.26e-04    3.37e-04    3.35e-04 
           52       4    2.83e-04    2.39e-01    2.91e-04    2.90e-04 
           52       6    2.66e-04    2.64e-04    3.93e-01    9.08e-02 
           52       7    2.72e-04    2.71e-04    3.28e-04    3.69e-01 
           53       1           1           1           1           1 
           53       2    2.47e-01    3.26e-04    3.38e-04    3.36e-04 
           53       4    2.83e-04    2.37e-01    2.91e-04    2.90e-04 
           53       6    2.66e-04    2.64e-04    3.93e-01    9.17e-02 
           53       7    2.72e-04    2.71e-04    3.29e-04    3.70e-01 
           54       1           1           1           1           1 
           54       2    2.47e-01    3.25e-04    3.38e-04    3.36e-04 
           54       4    2.82e-04    2.36e-01    2.92e-04    2.90e-04 
           54       6    2.65e-04    2.63e-04    3.93e-01    9.29e-02 
           54       7    2.72e-04    2.71e-04    3.29e-04    3.70e-01 
           55       1           1           1           1           1 
           55       2    2.46e-01    3.24e-04    3.38e-04    3.36e-04 
           55       4    2.82e-04    2.35e-01    2.92e-04    2.90e-04 
           55       6    2.65e-04    2.63e-04    3.93e-01    9.44e-02 
           55       7    2.73e-04    2.71e-04    3.28e-04    3.71e-01 
           56       1           1           1           1           1 
           56       2    2.46e-01    3.24e-04    3.38e-04    3.37e-04 
           56       4    2.82e-04    2.34e-01    2.92e-04    2.90e-04 
           56       6    2.65e-04    2.63e-04    3.94e-01    9.57e-02 
           56       7    2.73e-04    2.71e-04    3.27e-04    3.71e-01 
           57       1           1           1           1           1 
           57       2    2.45e-01    3.24e-04    3.39e-04    3.38e-04 
           57       4    2.81e-04    2.33e-01    2.92e-04    2.91e-04 
           57       6    2.65e-04    2.63e-04    3.94e-01    9.69e-02 
           57       7    2.73e-04    2.71e-04    3.26e-04    3.72e-01 
           58       1           1           1           1           1 
           58       2    2.42e-01    3.23e-04    3.40e-04    3.39e-04 
           58       4    2.81e-04    2.32e-01    2.92e-04    2.91e-04 
           58       6    2.65e-04    2.63e-04    3.94e-01    9.80e-02 
           58       7    2.73e-04    2.72e-04    3.25e-04    3.72e-01 
           59       1           1           1           1           1 
           59       2    2.41e-01    3.23e-04    3.41e-04    3.39e-04 
           59       4    2.80e-04    2.31e-01    2.92e-04    2.91e-04 
           59       6    2.65e-04    2.62e-04    3.94e-01    9.91e-02 
           59       7    2.73e-04    2.72e-04    3.24e-04    3.73e-01 
           60       1           1           1           1           1 
           60       2    2.40e-01    3.22e-04    3.41e-04    3.39e-04 
           60       4    2.80e-04    2.30e-01    2.92e-04    2.91e-04 
           60       6    2.65e-04    2.62e-04    3.95e-01    1.00e-01 
           61       1           1           1           1           1 
           61       2    2.40e-01    3.21e-04    3.41e-04    3.40e-04 
           61       4    2.79e-04    2.29e-01    2.92e-04    2.91e-04 
           61       6    2.65e-04    2.62e-04    3.95e-01    1.01e-01 
           62       1           1           1           1           1 
           62       2    2.40e-01    3.21e-04    3.41e-04    3.40e-04 
           62       4    2.79e-04    2.28e-01    2.93e-04    2.92e-04 
           62       6    2.65e-04    2.62e-04    3.95e-01    1.02e-01 
           63       1           1           1           1           1 
           63       2    2.39e-01    3.21e-04    3.42e-04    3.40e-04 
           63       4    2.79e-04    2.28e-01    2.93e-04    2.92e-04 
           63       6    2.65e-04    2.62e-04    3.95e-01    1.02e-01 
           64       1           1           1           1           1 
           64       2    2.39e-01    3.20e-04    3.42e-04    3.40e-04 
           64       4    2.79e-04    2.27e-01    2.93e-04    2.92e-04 
           64       6    2.65e-04    2.62e-04    3.95e-01    1.03e-01 
           65       1           1           1           1           1 
           65       4    2.78e-04    2.27e-01    2.93e-04    2.92e-04 
           65       6    2.66e-04    2.62e-04    3.95e-01    1.04e-01 
           66       1           1           1           1           1 
           66       4    2.78e-04    2.26e-01    2.93e-04    2.92e-04 
           66       6    2.66e-04    2.62e-04    3.95e-01    1.04e-01 
           67       1           1           1           1           1 
           68       1           1           1           1           1
